Number,CH1,CH2,CH4
1,23.5,23.48,23.5
2,23.49,23.47,23.49
3,23.49,23.47,23.49
4,23.49,23.47,23.49
5,23.49,23.48,23.49
6,23.49,23.48,23.49
7,23.49,23.48,23.5
8,23.5,23.48,23.5
9,23.5,23.48,23.5
10,23.5,23.48,23.5
11,23.5,23.49,23.5
12,23.5,23.48,23.5
13,23.5,23.49,23.5
14,23.5,23.49,23.5
15,23.5,23.48,23.5
16,23.5,23.48,23.5
17,23.5,23.48,23.5
18,23.5,23.48,23.5
19,23.5,23.48,23.5
20,23.5,23.48,23.5
21,23.5,23.48,23.5
22,23.5,23.48,23.5
23,23.5,23.48,23.5
24,23.5,23.48,23.5
25,23.5,23.48,23.5
26,23.5,23.48,23.5
27,23.5,23.48,23.5
28,23.5,23.49,23.5
29,23.5,23.48,23.5
30,23.5,23.48,23.5
31,23.5,23.48,23.5
32,23.49,23.48,23.49
33,23.49,23.47,23.49
34,23.49,23.48,23.49
35,23.49,23.48,23.49
36,23.49,23.47,23.49
37,23.49,23.48,23.5
38,23.5,23.48,23.5
39,23.5,23.48,23.5
40,23.5,23.48,23.5
41,23.5,23.48,23.5
42,23.5,23.48,23.5
43,23.5,23.48,23.5
44,23.5,23.48,23.5
45,23.5,23.48,23.5
46,23.5,23.49,23.5
47,23.5,23.49,23.5
48,23.5,23.49,23.5
49,23.5,23.49,23.5
50,23.5,23.48,23.5
51,23.5,23.49,23.5
52,23.5,23.49,23.5
53,23.5,23.48,23.5
54,23.5,23.49,23.5
55,23.5,23.48,23.5
56,23.5,23.49,23.5
57,23.5,23.48,23.5
58,23.5,23.48,23.5
59,23.5,23.49,23.5
60,23.5,23.49,23.5
61,23.5,23.49,23.5
62,23.49,23.48,23.49
63,23.49,23.48,23.49
64,23.49,23.47,23.49
65,23.49,23.47,23.49
66,23.49,23.48,23.49
67,23.5,23.48,23.5
68,23.5,23.48,23.5
69,23.5,23.48,23.5
70,23.5,23.48,23.5
71,23.5,23.48,23.5
72,23.5,23.48,23.5
73,23.5,23.48,23.5
74,23.5,23.48,23.5
75,23.5,23.49,23.5
76,23.5,23.48,23.5
77,23.5,23.48,23.5
78,23.5,23.48,23.5
79,23.5,23.48,23.5
80,23.5,23.48,23.5
81,23.5,23.49,23.5
82,23.5,23.49,23.5
83,23.5,23.48,23.5
84,23.5,23.48,23.5
85,23.5,23.48,23.5
86,23.5,23.48,23.5
87,23.5,23.48,23.5
88,23.5,23.48,23.5
89,23.5,23.48,23.5
90,23.5,23.48,23.5
91,23.5,23.49,23.5
92,23.49,23.48,23.49
93,23.49,23.47,23.49
94,23.49,23.48,23.49
95,23.49,23.48,23.49
96,23.49,23.47,23.49
97,23.5,23.48,23.5
98,23.5,23.48,23.5
99,23.5,23.48,23.5
100,23.5,23.48,23.5
101,23.5,23.48,23.5
102,23.5,23.48,23.5
103,23.5,23.49,23.5
104,23.5,23.48,23.5
105,23.5,23.48,23.5
106,23.5,23.48,23.5
107,23.5,23.48,23.5
108,23.5,23.48,23.5
109,23.5,23.48,23.5
110,23.5,23.49,23.5
111,23.5,23.48,23.5
112,23.5,23.49,23.5
113,23.5,23.48,23.5
114,23.5,23.48,23.5
115,23.5,23.48,23.5
116,23.5,23.48,23.5
117,23.5,23.49,23.5
118,23.5,23.49,23.5
119,23.5,23.48,23.5
120,23.5,23.49,23.5
121,23.5,23.49,23.5
122,23.49,23.48,23.49
123,23.49,23.48,23.49
124,23.49,23.48,23.49
125,23.49,23.48,23.5
126,23.49,23.47,23.49
127,23.5,23.48,23.5
128,23.5,23.48,23.5
129,23.5,23.49,23.5
130,23.5,23.49,23.5
131,23.5,23.48,23.49
132,23.5,23.48,23.5
133,23.5,23.48,23.5
134,23.5,23.48,23.5
135,23.5,23.48,23.5
136,23.5,23.48,23.5
137,23.5,23.48,23.5
138,23.5,23.48,23.5
139,23.5,23.48,23.5
140,23.5,23.49,23.5
141,23.5,23.48,23.5
142,23.5,23.49,23.5
143,23.5,23.48,23.5
144,23.5,23.48,23.5
145,23.5,23.48,23.5
146,23.5,23.48,23.5
147,23.5,23.48,23.5
148,23.5,23.48,23.5
149,23.5,23.48,23.5
150,23.5,23.48,23.5
151,23.5,23.48,23.49
152,23.49,23.48,23.49
153,23.49,23.48,23.49
154,23.49,23.47,23.49
155,23.49,23.48,23.49
156,23.49,23.48,23.49
157,23.5,23.48,23.5
158,23.5,23.48,23.5
159,23.5,23.48,23.5
160,23.5,23.48,23.5
161,23.5,23.48,23.5
162,23.5,23.48,23.5
163,23.5,23.49,23.5
164,23.5,23.48,23.5
165,23.5,23.48,23.5
166,23.5,23.48,23.5
167,23.5,23.48,23.5
168,23.5,23.48,23.5
169,23.5,23.49,23.5
170,23.5,23.48,23.5
171,23.5,23.48,23.5
